Component in English,Component in French,INFOODS tagname,Unit,Denominator,Significant figures,Maximal decimal places,Datasheet,Analytical/determination method/definition in English,Analytical/determination method/definition in French
Composant en anglais,Composant en français,INFOODS tagname,Unité, Dénominateur,Chiffres significatifs,Décimales,Fiche Excel,Méthode d’analyse/de détermination/définition en anglais,Méthode d’analyse/de détermination/définition en français
Edible portion 1,Portion comestible 1,EDIBLE1,-,-,3,2,03-06,Edible portion coefficient (from as purchased to as described),Coefficient de la portion comestible (rapport entre l’aliment décrit et l’aliment acheté)
Edible portion 2,Portion comestible 2,EDIBLE2,-,-,3,2,"05, 06",Edible portion coefficient (from as described to as eaten),Coefficient de la portion comestible (rapport entre l’aliment consommé et l’aliment décrit)
Sum of proximate components (SOP),Somme des macronutriments (SOP),SOP,g,/100g EP,3,1,"05, 06",Sum of proximate components (g/100 g EP) = water (g/100 g EP) + total fat (g/100 g EP) + available carbohydrate (g/100 g EP) + total protein (g/100 g EP) + ash (g/100 g EP) + total dietary fibre (g/100 g EP) + alcohol (g/100 g EP),Somme des macronutriments (g/100 g PC) = eau (g/100 g PC) + lipides totaux (g/100 g PC) + glucides disponibles (g/100 g PC) + protéines totales (g/100 g PC) + cendres (g/100 g PC) + fibres alimentaires totales (g/100 g PC) + alcool (g/100 g PC)
Energy,Énergie,ENERC,kJ,/100g EP,3,0,03-06,Energy (kJ/100 g EP) = total protein (g/100 g EP) × 17 + total fat (g/100 g EP) × 37 + available carbohydrate (g/100 g EP) × 17 + total dietary fibre (g/100 g EP) × 8 + alcohol (g/100 g EP) × 29,Énergie (kJ/100 g PC) = protéines totales (g/100 g PC) x 17 + lipides totaux (g/100 g PC) x 37 + glucides disponibles (g/100 g PC) x 17 + fibres alimentaires totales (g/100 g PC) x 8 + alcool (g/100 g PC) x 29
Energy,Énergie,ENERC,kcal,/100g EP,3,0,03-06,Energy (kcal/100 g EP) = total protein (g/100 g EP) × 4 + total fat (g/100 g EP) × 9 + available carbohydrate (g/100 g EP) × 4 + total dietary fibre (g/100 g EP) × 2 + alcohol (g/100 g EP) × 7,Énergie (kcal/100 g PC) = protéines totales (g/100 g PC) x 4 + lipides totaux (g/100 g PC) x 9 + glucides disponibles (g/100 g PC) x 4 + fibres alimentaires totales (g/100 g PC) x 2 + alcool (g/100 g PC) x 7
Water,Eau,WATER,g,/100g EP,3,1,03-06,Drying,Séchage
"Protein, total",Protéines totales,PROTCNT,g,/100g EP,3,1,03-06,Total protein (g/100 g EP) = nitrogen conversion factor (XN) × total nitrogen (g/100 g EP),Protéines totales (g/100 g PC) = facteur de conversion de l’azote (XN) x azote total (g/100 g PC)
"Fat, total or [fat, derived by analysis using continuous extraction]",Lipides totaux ou [lipides dérivés d’une analyse par extraction continue],FAT or [FATCE],g,/100g EP,3,1,03-06,Mixed solvent extraction or [Soxhlet method with continuous extraction] ,Extraction par solvant mixte ou [méthode de Soxhlet avec extraction continue]
"Carbohydrate, available; calculated by difference",Glucides disponibles; calculés par différence,CHOAVLDF,g,/100g EP,3,1,03-06,"Carbohydrate, available; calculated by difference (g/100 g EP) = 100 – (water + total fat + total protein + ash + total dietary fibre + alcohol) (g/100 g EP)",Glucides disponibles; calculés par différence (g/100 g PC) = 100 - (eau + lipides totaux + protéines totales + cendres + fibres alimentaires totales + alcool) (g/100 g PC)
"Fibre, total dietary or [fibre, crude]",Fibres alimentaire totales ou [fibres brutes],FIBTG or [FIBC],g,/100g EP,3,1,03-06,AOAC Prosky method (AOAC 991.43) or [Weende method],Méthode AOAC Prosky (AOAC 991.43) ou [méthode Weende] 
Alcohol,Alcool,ALC,g,/100g EP,3,1,"05, 06",GLC or distillation,CGL ou distillation
Ash,Cendres,ASH,g,/100g EP,3,1,03-06,Gravimetric methods,Méthodes gravimétriques
Calcium,Calcium,CA,mg,/100g EP,3,0,03-06,"AAS, ICP-MS","SAA, ICP-MS"
Iron,Fer,FE,mg,/100g EP,3,1,03-06,"AAS, ICP-MS","SAA, ICP-MS"
Magnesium,Magnésium,MG,mg,/100g EP,3,0,03-06,"AAS, ICP-MS","SAA, ICP-MS"
Phosphorus,Phosphore,P,mg,/100g EP,3,0,03-06,"AAS, ICP-MS","SAA, ICP-MS"
Potassium,Potassium,K,mg,/100g EP,3,0,03-06,"AAS, ICP-MS","SAA, ICP-MS"
Sodium,Sodium,,mg,/100g EP,3,0,03-06,"AAS, ICP-MS","SAA, ICP-MS"
Zinc,Zinc,ZN,mg,/100g EP,3,2,03-06,"AAS, ICP-MS","SAA, ICP-MS"
Copper,Cuivre,CU,mg,/100g EP,3,2,03-06,"AAS, ICP-MS","SAA, ICP-MS"
Vitamin A (expressed in retinol equivalents),Vitamine A (exprimée en équivalent rétinol),VITA,mcg,/100g EP,3,0,03-06,Vitamin A in retinol equivalents (mcg/100 g EP) = retinol (mcg/100 g EP) + beta-carotene equivalents (mcg/100 g EP) / 6,Vitamine A en équivalent rétinol (mcg/100 g PC) = rétinol (mcg/100 g PC) + équivalent bêtacarotène (mcg/100 g PC) / 6
Vitamin A (expressed in retinol activity equivalents),Vitamine A (exprimée en équivalent activité rétinol),VITA_RAE,mcg,/100g EP,3,0,03-06,Vitamin A in retinol activity equivalents (mcg/100 g EP) = retinol (mcg/100 g EP) + beta-carotene equivalents (mcg/100 g EP) / 12,Vitamine A en équivalent activité rétinol (mcg/100 g PC) = rétinol (mcg/100 g PC) + équivalent bêtacarotène (mcg/100 g PC) / 12
Retinol,Rétinol,RETOL,mcg,/100g EP,3,0,03-06,HPLC,CLPH
Beta-carotene equivalents or [beta-carotene],Équivalent bêta-carotène ou [bêta-carotène],CARTBEQ or [CARTB],mcg,/100g EP,3,0,03-06,Beta-carotene equivalents (mcg/100 g EP) = beta-carotene (mcg/100 g EP) + alpha-carotene (mcg/100 g EP) / 2 + beta-cryptoxanthin (mcg/100 g EP) / 2 or [HPLC],Équivalent bêta-carotène (mcg/100 g PC) = bêta-carotène (mcg/100 g PC) + alpha-carotène (mcg/100g PC) / 2 + bêta-cryptoxanthine (mcg/100 g PC) / 2 ou [CLHP]
Alpha-carotene,Alpha-carotène,CARTA,mcg,/100g EP,3,0,"05, 06",HPLC,CLPH
Beta-carotene,Bêta-carotène,CARTB,mcg,/100g EP,3,0,"05, 06",HPLC,CLPH
Beta-cryptoxanthin,Bêta-cryptoxanthine,CRYPXB,mcg,/100g EP,3,0,"05, 06",HPLC,CLPH
Vitamin D,Vitamine D,VITD,mcg,/100g EP,2,1,03-06,Vitamin D = Vitamin D2 + Vitamin D3; analysed by HPLC,Vitamine D = Vitamine D2 + Vitamine D3; analysé par CLHP
Vitamin E (expressed in alpha-tocopherol equivalents) or [alpha-tocopherol],Vitamine E (exprimée en équivalent alphatocophérol) ou [alphatocophérol],VITE or [TOCPHA],mg,/100g EP,2,2,03-06,Vitamin E expressed in alpha-tocopherol equivalents (mg/100 g EP) = alpha-tocopherol (mg/100 g EP) + 0.4 × beta-tocopherol (mg/100 g EP) + 0.1 × gamma-tocopherol (mg/100 g EP) + 0.01 × delta-tocotrienol (mg/100 g EP) or [HPLC],"Vitamine E exprimée en équivalent alpha-tocophérol (mg/100 g PC) = alpha-tocophérol (mg/100 g PC) + 0,4 x bêta-tocophérol (mg/100 g PC) + 0,1 x gamma-tocophérol (mg/100 g PC) + 0,01 x deltatocotriénol (mg/100 g PC) ou [CLHP]"
Alpha-tocopherol,Alpha-tocophérol,TOCPHA,mg,/100g EP,2,2,"05, 06",HPLC,CLPH
Beta-tocopherol,Bêta-tocophérol,TOCPHB,mg,/100g EP,2,2,"05, 06",HPLC,CLPH
Gamma-tocopherol,Gamma-tocophérol,TOCPHG,mg,/100g EP,2,2,"05, 06",HPLC,CLPH
Delta-tocopherol,Delta-tocophérol,TOCPHD,mg,/100g EP,2,2,"05, 06",HPLC,CLPH
Thiamine (vitamin B1),Thiamine (vitamine B1),THIA,mg,/100g EP,2,2,03-06,"HPLC, microbiological","CLHP, microbiologique"
Riboflavin (vitamin B2),Riboflavine (vitamine B2),RIBF,mg,/100g EP,2,2,03-06,"HPLC, microbiological","CLHP, microbiologique"
"Niacin equivalents or [niacin, preformed] (vitamin B3)","Équivalent niacine ou [niacine, (préformée)] (vitamine B3) ",NIAEQ or [NIA],mg,/100g EP,2,1,03-06,"Niacin equivalents (mg/100 g EP) = niacin (mg/100 g EP) + tryptophan (mg/100 g EP) / 60 or [HPLC, microbiological]","Équivalent niacine (mg/100 g PC) = niacine (mg/100 g PC) + tryptophane (mg/100 g PC) / 60 ou [CLHP, microbiologique]"
"Niacin, preformed","Niacine, préformée",NIA,mg,/100g EP,2,1,03-06,"HPLC, microbiological","CLPH, microbiologique"
Tryptophan,Tryptophane,TRP,mg,/100g EP,3,0,03-06,Ion exchange chromatography,Chromatographie par échange d’ions
Vitamin B6,Vitamine B6,VITB6C,mg,/100g EP,2,2,03-06,"HPLC, microbiological","CLPH, microbiologique"
Folic acid (synthetic),Acide folique (synthétique),FOLAC,mcg,/100g EP,2,0,"05, 06",From literature sources,De sources documentaires
"Folate, naturally occurring (food folate)","Folate, naturel (folate alimentaire)",FOLFD,mcg,/100g EP,2,0,"05, 06",Microbiological,Microbiologique
"Folate, total or [folate, sum of vitamers] (vitamin B9)","Folate, total ou [somme des vitamères] (vitamine B9) ",FOL or [FOLSUM],mcg,/100g EP,2,0,03-06,Microbiological or [HPLC],Microbiologique ou [CLPH]
"Folate, dietary folate equivalents (DFE)","Folate, équivalent folates alimentaires (DFE)",FOLDFE,mcg,/100g EP,2,0,03-06,Dietary folate equivalents (mcg/100 g EP) = naturally occurring food folates (mcg/100 g EP) + 1.7 × synthetic folic acid (mcg/100 g EP),"Équivalent folates alimentaires (mcg/100 g PC) = folates alimentaires naturels (mcg/100 g PC) + 1,7 x acide folique synthétique (mcg/100 g PC)"
Vitamin B12,Vitamine B12,VITB12,mcg,/100g EP,2,2,03-06,"HPLC, microbiological","CLPH, microbiologique"
Vitamin C,Vitamine C,VITC,mg,/100g EP,3,0,03-06,Various methods (see User Guide section 5 Components),Méthodes diverses (voir Guide d’utilisation section 5 Composants) 
Cholesterol,Cholestérol,CHOLE,mg,/100g EP,3,0,03-06,HPLC,CLPH
Fatty acid conversion factor,Facteur de conversion de acides gras,XFA,-,-,3,3,"05, 06",From literature sources (see User Guide section 5 Components),De sources documentaires (voir Guide d’utilisation section 5 Composants) 
"Fatty acids, total saturated",Acides gras saturés totaux,FASAT,g,/100g EP,3,2,03-06,"Fatty acids, total saturated (g/100 g EP) = fatty acids, total saturated (% of total FA) × fatty acid conversion factor × fat, total (g/100 g EP) / 100",Acides gras saturés totaux (g/100 g PC) = acides gras totaux saturés (% d´AG totaux) x facteur de conversion des acides gras x lipides totaux (g/100 g PC) / 100 
