Code,Food name in English,Nom d’aliment en français,Yield factor / Factor de rendement,Source
Cereals and their products/Céréales et produits dérivés,,,,
01_124,"Fonio, black, whole grains, boiled* (as part of a recipe)","Fonio, noir, grains entiers, bouilli* (ingrédient de recette)",2.4,"Bognár, 2002 (Millet, shacked corn, boiled) "
01_049,"Fonio, black, whole grains, boiled* (without salt), drained","Fonio, noir, grains entiers, bouilli* (sans sel), égoutté",2.4,"Bognár, 2002 (Millet, shacked corn, boiled) "
01_126,"Fonio, decorticated grains (bran removed), boiled* (as part of a recipe)","Fonio, grains décortiqués (sans son), bouilli* (ingrédient de recette)",2.4,"Bognár, 2002 (Millet, shacked corn, boiled) "
01_051,"Fonio, decorticated grains (bran removed), boiled* (without salt), drained","Fonio, grains décortiqués (sans son), bouilli* (sans sel), égoutté",2.4,"Bognár, 2002 (Millet, shacked corn, boiled) "
01_128,"Fonio, decorticated grains (bran removed), washed (mid wet), boiled* (as part of a recipe)","Fonio, grains décortiqués (sans son), lavé (humide), bouilli* (ingrédient de recette)",1.6,"Calculated to give same moisture content as for dry, cooked fonio"
01_127,"Fonio, decorticated grains (bran removed), washed (mid wet), boiled* (without salt), drained","Fonio, grains décortiqués (sans son), lavé (humide), bouilli* (sans sel), égoutté",1.6,"Calculated to give same moisture content as for dry, cooked fonio"
01_125,"Fonio, white, whole grains, boiled* (as part of a recipe)","Fonio, blanc, grains entiers, bouilli* (ingrédient de recette)",2.4,"Bognár, 2002 (Millet, shacked corn, boiled) "
01_003,"Fonio, white, whole grains, boiled* (without salt), drained","Fonio, blanc, grains entiers, bouilli* (sans sel), égoutté",2.4,"Bognár, 2002 (Millet, shacked corn, boiled) "
01_103,"Instant noodles (Indomie), made from wheat flour, previously fried and dried, without flavouring, boiled and drained*","Nouilles instantanées (Indomie), de farine de blé, préalablement frites et séchées, sans aromatisants, bouillies et égouttées*",2.28,"Own measurement (Instant noodles, boiled, drained)"
01_053,"Macaroni, boiled* (without salt), drained","Macaroni, bouilli* (sans sel), égoutté",2.9,"Bergström, 1994 (Spaghetti, boiled) "
01_123,"Maize, combined varieties, whole kernel (Benin), boiled* (as part of a recipe)","Maïs, mélange de variétés, grain entier (Bénin), bouilli* (ingrédient de recette)",3.1,"KEN18(01049 Maize, yellow, grain, dry, boiled, drained)"
01_062,"Maize, combined varieties, whole kernel (Benin), boiled* (without salt), drained","Maïs, mélange de variétés, grain entier (Bénin), bouilli* (sans sel), égoutté",3.1,"KEN18(01049 Maize, yellow, grain, dry, boiled, drained)"
01_104,"Maize, white, whole kernel, boiled* (as part of a recipe)","Maïs, blanc, grain entier, bouilli* (ingrédient de recette)",3.1,"KEN18(01049 Maize, yellow, grain, dry, boiled, drained)"
01_005,"Maize, white, whole kernel, boiled* (without salt), drained","Maïs, blanc, grain entier, bouilli* (sans sel), égoutté",3.1,"KEN18(01049 Maize, yellow, grain, dry, boiled, drained)"
01_119,"Maize, white, whole kernel, decorticated, boiled* (as part of a recipe)","Maïs, blanc, grain entier, décortiqué, bouilli* (ingrédient de recette)",3.1,"KEN18(01049 Maize, yellow, grain, dry, boiled, drained)"
01_118,"Maize, white, whole kernel, decorticated, boiled* (without salt), drained","Maïs, blanc, grain entier, décortiqué, bouilli* (sans sel), égoutté",3.1,"KEN18(01049 Maize, yellow, grain, dry, boiled, drained)"
01_120,"Maize, yellow, whole kernel, boiled* (as part of a recipe)","Maïs, jaune, grain entier, bouilli* (ingrédient de recette)",3.1,"KEN18(01049 Maize, yellow, grain, dry, boiled, drained)"
