Food name in English,Processing of foods in English,Food name in French,Processing of foods in French,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Vitamin A,Vitamin D,Vitamin E,Thiamine (vitamin B1),Riboflavin (vitamin B2),Niacin,Vitamin B6,Folate,Vitamin B12,Vitamin C,Phytate§,IP6§
Nom d’aliment en anglais,Transformation des aliments en anglais,Nom d’aliment en français,Transformation des aliments en français,Calcium,Fer,Magnésium,Phosphore,Potassium,Sodium,Zinc,Cuivre,Vitamine A,Vitamine D,Vitamine E,Thiamine (vitamine B1),Riboflavin (vitamine B2),Niacine,Vitamine B6,Folate,Vitamine B12,Vitamine C,Phytate§,IP6§
,,,,CA,FE,MG,P,K,,ZN,CU,"VITA, VITA_RAE, RETOL, CARTB, CARTA, CRYPXB",VITD,"VITE, TOCPHA,
TOCPHB,
TOCPHG,
TOCPHD",THIA,RIBF,"NIA, NIAEQ",VITB6C,"FOL, FOLAC, FOLFD, FOLDFE, FOLSUM",VITB12,VITC,"PHYTCPP, PHYTCPPD, PHYTCPPI",IP6
Cereals and their products/Céréales et produits dérivés,,,,,,,,,,,,,,,,,,,,,,,
Grain and grain product,Stewed,Grain et produit de grain,Mijoté,1,1,1,1,1,1,1,1,0.95,1,1,0.75,1,0.95,0.8,0.8,0.95,0.7,0.51,0.51
Grain and grain product,"Boiled, steamed",Grain et produit de grain,"Bouilli, cuit à la vapeur",1,1,1,1,1,1,1,1,0.9,1,1,0.8,0.9,0.9,0.9,0.7,1,0.8,0.83,0.83
Pasta,Boiled,Pâtes,Bouillies,0.95,0.75,0.85,0.95,0.6,0.5,1,0.9,0.9,1,1,0.85,0.75,0.9,0.9,0.7,1,0.7,0.83,0.83
Pasta,"Boiled, with cooking liquid consumed",Pâtes,"Bouillies, avec liquide de cuisson consommé",0.5,0.65,0.95,0.85,0.95,0.75,1,0.9,0.95,1,1,0.8,0.9,0.9,0.85,0.7,1,0.7,0.83,0.83
Pasta,Fried in oil,Pâtes,Frites dans l’huile,1,1,1,1,1,1,1,1,0.9,1,1,0.9,0.9,0.9,0.9,0.7,1,0.85,1,1
"Rice and other grain, whole",Boiled,"Riz et autres grains, complet",Bouilli,1,1,1,0.95,0.8,0.8,0.95,1,0.9,1,1,0.5,0.75,0.75,0.5,0.7,0.75,0.7,0.51,0.51
"Rice and other grain, whole","Boiled, with cooking liquid consumed","Riz et autres grains, complet","Bouilli, avec liquide de cuisson consommé",1,1,1,1,1,1,1,1,0.95,1,1,0.75,1,0.95,0.8,0.8,0.95,0.7,0.51,0.51
