Code,Food name in English,Food name in French,BiblioID/Source,Scientific name,FoodEx2 Code,FoodEx2 Description,Exact Match (Yes/No),Comments
Code,Nom d’aliment en anglais,Nom d’aliment en français,BiblioID/Source,Nom scientifique,Code FoodEx2,FoodEx2 Décrit,Correspondance exacte (Yes/No),Commentaires
01_172,"Baling béinré (northern Burkina Faso)*: sorghum porridge with monkey bread, tamarind, water, milk and sugar","Baling béinré (nord du Burkina Faso)*: bouillie de sorgho avec pain de singe, tamarin, eau, lait et sucre",calc. from recipe / de recette,,-,-,-,
01_173,"Baling ni zièm béinré (Burkina Faso)*: porridge of degermed sorghum with potash, water and sugar","Baling ni zièm béinré (Burkina Faso)*: bouillie de sorgho dégermé avec potasse, eau et sucre",calc. from recipe / de recette,,-,-,-,
01_168,Beenkida (Burkina Faso)*: maize porridge with maize granules,Beenkida (Burkina Faso)*: bouillie de maïs avec grumaux de maïs,calc. from recipe / de recette,,-,-,-,
01_188,"Biscuit, sweet, plain, unfortified","Biscuit, sucré, nature, non enrichi","AU14(02C20287; 02C20364; 02C20286; 02C20314), SA10(3216; 3233; 3296), UK7(11-797; 11-796)",,A009X,"Biscuits, sweet, plain",Yes,
01_177,Boalboal (Burkina Faso)*: millet balls with fried fish and vegetables,Boalboal (Burkina Faso)*: boulettes de mil avec poisson frit et légumes,calc. from recipe / de recette,,-,-,-,
01_047,"Bread, wheat, white for toasting, unfortified","Pain, blé, blanc à griller, non enrichi","AU14(02B10603; 02B10648), DK2(838), US28(18069), UK7(11-980), 01_046",,A004Y#F02.A0EPR$F10.A0F6D,"Wheat bread and rolls, white (refined flour), PART-NATURE = Sandwich bread (as part-nature), QUALITATIVE-INFO = Not fortified",Yes,
01_046,"Bread, wheat, white, unfortified","Pain, blé, blanc, non enrichi","1M(1281), 2P(35), 3B(Wheat bread / Pain de blé), 5B(Wheat bread / Pain de blé), 16V(22), AU14(02B10603), FAO(26), PH040, PH081, SA1020, SA10(3210), UK7(11-980), US28(18069)",,A004Y#F10.A0F6D,"Wheat bread and rolls, white (refined flour), QUALITATIVE-INFO = Not fortified",Yes,
01_048,"Bread, wheat, wholemeal, unfortified","Pain, blé, complet, non enrichi","AU14(02B10605), UK7(11-981), US28(18075)",,A005E#F10.A0F6D,"Wheat bread and rolls, brown or wholemeal, QUALITATIVE-INFO = Not fortified",Yes,Variety missing
01_045,"Bread/rolls, white, unfortified","Pain/petit pain, blanc, non enrichi","AU14(02B10648), DK2(838), UK7(11-483), US28(18342)",,A004Y#F10.A0F6D,"Wheat bread and rolls, white (refined flour), QUALITATIVE-INFO = Not fortified",Yes,Variety missing
