2012 Code,2012 Food name in English,2012 Nom d’aliment en français,2019 Code,2019 Food name in English,2019 Nom d’aliment en français
01 Cereals and their products/Céréales et produits céréaliers,,,01 Cereals and their products/Céréales et produits dérivés,,
01_044,"Bread, maize flour, yellow, with milk and egg","Pain, farine de maïs, jaune, avec lait et oeuf",,,
01_045,"Bread/rolls, white","Pain/petit pain, blanc",01_045,"Bread/rolls, white, unfortified","Pain/petit pain, blanc, non enrichi"
01_046,"Bread, wheat, white","Pain, blé, blanc",01_046,"Bread, wheat, white, unfortified","Pain, blé, blanc, non enrichi"
01_047,"Bread, wheat, white for toasting","Pain de mie, au blé, blanc ",01_047,"Bread, wheat, white for toasting, unfortified","Pain, blé, blanc à griller, non enrichi"
01_048,"Bread, wheat, wholemeal","Pain, blé complet",01_048,"Bread, wheat, wholemeal, unfortified","Pain, blé, complet, non enrichi"
01_002,"Fonio, black, whole grain, raw","Fonio, noir, grain entier, cru",01_002,"Fonio, black, whole grains, raw","Fonio, noir, grains entiers, cru"
01_049,"Fonio, black, whole grain, boiled* (without salt)","Fonio, noir, grain entier, bouilli* (sans sel)",01_049,"Fonio, black, whole grains, boiled* (without salt), drained","Fonio, noir, grains entiers, bouilli* (sans sel), égoutté"
01_050,"Fonio, husked grains, raw (bran removed)","Fonio, grain décortiqué, cru (sans son)",01_050,"Fonio, decorticated grains (bran removed), dry, raw","Fonio, grains décortiqués (sans son), sec, cru"
01_051,"Fonio, husked grains, boiled* (without salt)","Fonio, grain décortiqué, bouilli* (sans sel)",01_051,"Fonio, decorticated grains (bran removed), boiled* (without salt), drained","Fonio, grains décortiqués (sans son), bouilli* (sans sel), égoutté"
01_001,"Fonio, white, whole grain, raw","Fonio, blanc, grain entier, cru",01_001,"Fonio, white, whole grains, raw","Fonio, blanc, grains entiers, cru"
01_003,"Fonio, white, whole grain, boiled* (without salt)","Fonio, blanc, grain entier, bouilli* (sans sel)",01_003,"Fonio, white, whole grains, boiled* (without salt), drained","Fonio, blanc, grains entiers, bouilli* (sans sel), égoutté"
01_052,"Macaroni, dried","Macaroni, sec",01_052,"Macaroni, dry, unfortified","Macaroni, séché, non enrichi"
01_053,"Macaroni, boiled* (without salt)","Macaroni, bouilli* (sans sel)",01_053,"Macaroni, boiled* (without salt), drained","Macaroni, bouilli* (sans sel), égoutté"
01_006,"Maize, yellow, whole kernel, dried, raw","Maïs, jaune, grain entier, sec, cru",01_006,"Maize, yellow, whole kernel, dry, raw","Maïs, jaune, grain entier, sec, cru"
01_007,"Maize, yellow, whole kernel, boiled* (without salt)","Maïs, jaune, grain entier, bouilli* (sans sel)",01_007,"Maize, yellow, whole kernel, boiled* (without salt), drained","Maïs, jaune, grain entier, bouilli* (sans sel), égoutté"
01_054,"Maize, yellow, flour of whole-grain","Maïs, jaune, farine aux grains entiers",01_054,"Maize, yellow, meal, whole grains, unfortified","Maïs, jaune, farine complète, non enrichie"
01_055,"Maize, yellow, grit, degermed","Maïs, jaune, gruau, dégermé",01_055,"Maize, yellow, grit, degermed, raw","Maïs, jaune, gruau, dégermé, cru"
