BiblioID,Reference
01BR,"Rodriguez-Amaya, D.B., Kimura, M. & Amaya-Farfan, J. 2008. Fontes Brasileiras de carotenóides: tabela brasileira de composição de carotenóides em alimentos. Brasilia, Ministério do Meio Ambiente. (also available at http://www.mma.gov.br/estruturas/sbf_agrobio/_publicacao/89_publicacao09032009113306.pdf)."
01CH,"Li, R., Xia, Q., Tang, M., Zhao, S., Chen, W., Lei, X. & Bai, X. 2012. Chemical composition of Chinese palm fruit and chemical properties of the oil extracts. African Journal of Biotechnology, 11(39): 9377–9382."
01FG,"Onyekwelu, J.C., Oyewale, O., Stimm, B. & Mosandl, R. 2015. Antioxidant, nutritional and anti-nutritional composition of Garcinia kola and Chrysophyllum albidum from rainforest ecosystem of Ondo State, Nigeria. Journal of Forestry Research, 26(2): 417–424."
1B,"Favier, J.C., Ireland-Ripert, J., Laussucq, C. & Feinberg, M. 1993. Répertoire général des aliments: 3. Table de composition des fruits exotiques, fruits de cueillette d’Afrique. Paris, Institut Français de Recherche Scientifique pour le Développement en Coopération (ORSTOM), Centre National d’Etudes Vétérinaires et Alimentaires (CNEVA), Centre Informatique sur la Qualité des Aliments (CIQUAL), Institut National de la Recherche Agronomique (INRA), Technique & Documentation (Lavoisier). 207 pp."
1E,"SQR Benin. 2008. Pourquoi manger les produits vivriers de saison? Guide pour l’alimentation et la nutrition durables. Série “Accès au marché local”. ONASA, VECO, Slow Food, CTA."
1G,"McCrae, J.E. & Paul, A.A. 1996. Foods of Rural Gambia, 2nd edition. Cambridge, UK and Keneba, the Gambia, Medical Research Council Dunn Nutrition Unit."
1GH,"Nti, C.A. 2009. Effects of bambara groundnut (Vigna subterranea) variety and processing on the quality and consumer appeal for its products. International Journal of Food Science & Technology, 44(11): 2234–2242."
1M,"Barikmo, I., Ouattara, F. & Oshaug, A. 2004. Food Composition Table for Mali. TACAM, Research Series No. 9. Oslo, Akershus University College. "
1N,"Aletor, V.A. & Aladetimi, O.O. 1989. Compositional evaluation of some cowpea varieties and some under-utilized edible legumes in Nigeria. Die Nahrung, 33(10): 999–1007."
1P,University of Ghana. (no date). Nutritional content of some typical African Foods. Nutrition & Food Science Department. Accra.
1R,"Glew, R.H., VanderJagt, D.J., Lockett, C., Grivetti, L.E., Smith, G.C., Pastuszyn, A. & Millson, M. 1997. Amino acid, fatty acid, and mineral composition of 24 indigenous plants of Burkina Faso. Journal of Food Composition and Analysis, 10(3): 205–217."
1T,"Núcleo de Estudos e pesquisas em Alimentação (NEPA). 2011. Tabela brasileira de composição de alimentos. Campinas, Brazil. 164 pp. (also available at http://www.nepa.unicamp.br/taco/tabela.php?ativo=tabela)."
1V,"Sanusi, R.A. & Adebiyi, A.E. 2009. Proximate and mineral composition of commonly consumed foods in Nigeria. Nigeria Journal of Nutritional Sciences, 30(2): 54–63."
02BR,"Mattietto, R.A., Lopes, A.S. & Menezes, H.C. 2010. Physical and physicochemical characterization of caja fruit (Spondias mombin L.) and its pulp, obtained using two types of extractor. Brazilian Journal of Food Technology, 13(3): 156–164."
02FG,"Oryema, C., Oryem-Origa, H. & Roos, N. 2016. Nutrient contents of the fresh pulps and dried pulp cakes of Vitellaria paradoxa of Gulu District, Uganda. Pakistan Journal of Nutrition, 15(1): 33–39."
2B,"Favier, J.C., Ireland-Ripert, J., Toque, C. & Feinberg, M. 1995. Répertoire général des aliments: Table de composition. Paris, Centre National d’Etudes Vétérinaires et Alimentaires (CNEVA), Centre Informatique sur la Qualité des Aliments (CIQUAL), , Technique & Documentation (Lavoisier), Institut National de la Recherche Agronomique (INRA)."
2E,"Mitchikpe, E.C.S., Dossa, R.A.M., Ategbo, E.A.D., Van Raaij, J.M.A., Hulshof, P.J.M. & Kok, F.J. 2008. The supply of bioavailable iron and zinc may be affected by phytate in Beninese children. Journal of Food Composition and Analysis, 21(1): 17–25."
2G,"Prynne, C.J. & Paul, A.A. 2011. Food Composition Table for Use in the Gambia. Cambridge, UK and Keneba, the Gambia, Medical Research Council Human Nutrition Research."
2GH,"Plahar, W.A., Annan, N.T. & Nti, C.A. 1997. Cultivar and processing effects on the pasting characteristics, tannin content and protein quality and digestibility of cowpea (Vigna unguiculata). Plant Foods for Human Nutrition, 51(4): 343–356."
2m,"Mohamed, H.E., Mousa, H.M. & Beynen, A.C. 2005. Ascorbic acid concentrations in milk from Sudanese camels. Journal of Animal Physiology and Animal Nutrition, 89(1–2): 35–7."
2P,"Eyeson, K.K. & Ankrah, E.K. 1975. Composition of foods commonly used in Ghana. Accra, Food Research Institute, Council for Scientific and Industrial Research."
2R,"Mouquet-Rivier, C., Icard-Vernière, C., Guyot, J.P., Tou, E.H., Rochette, I. & Trèche, S. 2008. Consumption pattern, biochemical composition and nutritional value of fermented pearl millet gruels in Burkina Faso. International Journal of Food Sciences and Nutrition, 59(7–8): 716–729."
03BR,"Tawata, N. 2010. Determinação de carotenóides em alimentos brasileiros in natura, processados e preparados para a tabela nacional de composição de alimentos. Faculdade de Engenharia de Alimentos, University of Campinas. (also available at http://repositorio.unicamp.br/bitstream/REPOSIP/256123/1/Tawata_Natalia_M.pdf). (Dissertation)"
03FG,"Owolarafe, O.K., Adebooye, O.C. & Adegbenjo, O.A. 2006. Physical properties and food value of Spondias mombin L. – an underexploited fruit of Nigeria. Journal of Food Science and Technology, 43(6): 626–628."
3B,DANSE. 2006. Aliments Africains.
3E,"Mikode, D.A., Alimi, I.I., Zinsou, I.S., Assongba, H.G. & Houngbenou, J.E. 2006. Table de composition alimentaire de quelques aliments locaux béninois. Project Afrofoods DANA/FAO, Rapport No. 7. Direction de l’Alimentation et de la Nutrition Appliquée (DANA). "
3EB,"Ene-Obong, H.N. & Ndubuisi, L.C. 2009. Evaluation of the food potentials of tiger nut tubers (Cyperus esculenta). Department of Home Science, Nutrition and Dietetics, University of Nigeria. (MSc research project)"
3GH,"Sefa-Dedeh, S. & Agyir-Sackey, E.K. 2004. Chemical composition and the effect of processing on oxalate content of cocoyam Xanthosoma sagittifolium and Colocasia esculenta cormels. Food Chemistry, 85(4): 479–487."
3P,University of Ghana. (no date). Ghana Common Foods. Nutrition and Food Science Department. Accra.
04BR,"Bora, P.S., Rocha, R.V.M., Narain, N., Moreira-Monteiro, A.C. & Moreira, R.A. 2003. Characterization of principal nutritional components of Brazilian oil palm (Eliaes guineensis) fruits. Bioresource Technology, 87(1): 1–5."
04FG,"Olayiwola, I.O., Akinfenwa, V.O., Oguntona, C.O., Sanni, S.A., Onabanjo, O.O. & Afolabi, W.A.O. 2013. Phytonutrient, antioxidant and mineral composition of some wild fruits in South West Nigeria. Nigerian Food Journal, 31(2): 33–40."
4E,Direction de l’Alimentation et de la Nutrition Appliquée (DANA). 1994. Table des valeurs nutritives de quelques aliments. Ministère du Développement Rural. 
4GH,"Wallace, P.A, Marfo, E.K. & Plahar, W.A. 1999. Nutritional quality and antinutritional composition of four non-conventional leafy vegetables. Food Chemistry, 61(3): 287–291."
4P,"Asibey-Berko, E. & Tayie, F.A.K. 1999. Proximate analysis of some under-utilized Ghanaian vegetables. Ghana Journal of Science, 39: 91–96."
4R,"Parkouda, C., Diawara, B., Ganou, L. & Lamien, N. 2007. Potentialités nutritionnelles des produits de 16 espèces fruitières locales au Burkina Faso. Science et technique, Sciences appliquées et Technologies, 1(1): 35-47."
